synset_id,words,definition,has_ili
awn3-05694760-n,صُعُوبَة,عامل يسبب مشكلة في تحقيق نتيجة إيجابية أو يميل إلى التسبب بنتيجة سلبية,False
awn3-06631572-n,"اِسْتِعْرَاض, عَرْض",حدث اجتماعي يتضمن أداء شعبياً لمختلف الفنون,False
awn3-07964900-n,مشرد,الناس الذين ليس لديهم مأوى,True
awn3-00811359-n,هِنْدُوسِيَّة,الديانة السائدة في الهند وتتميز بعبادة العديد من الآلهة وبالإيمان بالتناسخ,False
awn3-08113916-n,"بَرْهَمَانِيَّة, مَذْهَب البَرَاهِمَة, بَرْهَمِيَّة",النظام الديني والاجتماعي عند طبقة رجال الدين عند الهندوس,True
awn3-08153242-n,مَكْتَب التَّحْقِيقات الفِدْرَاليّ,وكالة حكومية تابعة لوزارة العدل الأمريكية تعمل كوكالة استخبارات داخلية مهمتها ال,True
awn3-08162285-n,مَكْتَب البَرِيد الأمريكي,فرع محلي من أفرع مكتب البريد في الولايات المتحدة,True
awn3-08208160-n,"جَيْش, قُوَّات مُسَلَّحَة",المؤسسة النظامية الدائمة للقوات العسكرية في البلاد,True
awn3-08208631-n,قِوَى البَحْرِيَّة,تنظيم من السفن العسكرية الخاصة بجيش البلاد مهمته القيام بالعمليات البحرية,True
awn3-08209291-n,خَفَر السَّوَاحِل,الجهاز العسكري المسؤول عن حراسة الشواطئ وأمنها ومراقبة سير الملاحة,True
awn3-08209900-n,"قُوَّات المارِينْز الأمْرِيكِيَّة, مشاة البحرية الأمريكية",أحد فروع القوات المسلحة الأمريكية، تابعة جزئياً للقوات البحرية في الأمور غير الق,True
awn3-08212964-n,القِوَى الجَّوِّيَّة,أحد الفروع العسكرية التي تشكل جزءاً من القوات المسلحة مهمتها العمليات الجوية,True
awn3-08269132-n,لِقاء اِجْتِماعِيّ,تجمع لغرض تعزيز الزمالة بين الأشخاص,False
awn3-08517241-n,"أعْمَاق, عُمْق",أبعد وأعمق منطقة,False
awn3-08568541-n,"أَبْرَشِيَّة, أُسْقُفِيَّة",أصغر وحدة في النظام الكنسي تتمتع باستقلال ذاتي تخضع لسلطة الأسقف أو المطران,True
awn3-08690476-n,قَرْيَة,تجمع سكني في منطقة ريفية أصغر من المدينة والبلدة تتصل فيه الأبنية,True
awn3-08715641-n,دَوْلَة إسْكَنْدِنافِيّة,الدول التي تقع في شبه جزيرة اسكندنافيا شمال أوروبا,True
awn3-08715940-n,دَوْلَة بَلْقانِيَّة,الدول الموجودة في جزيرة البلقان جنوب شرق أوروبا,True
awn3-09237488-n,"حَاجِز, سَدّ",ما يستخدم للمنع أو للإعاقة عن فعل شيء أو عن الانتقال إلى مكان آخر,True
awn3-09240137-n,شَاطئ,امتداد منبسط وعريض من اليابسة على جانب البحر أو البحيرة مغطى بالرمل أو الحصى,True
awn3-09370676-n,"مُسْتَنْقَعَات, أهْوَار",أرض منخفضة مشبعة بالماء تنمو بها شجيرات تتواجد بالقرب من البحار والأنهار بطيئة ا,True
awn3-09381123-n,قَمَر,كوكب صغير تابع لكوكب أكبر منه ويدور حوله,True
awn3-09392431-n,نيُوتْرُون,جسم متعادل الشحنة يدخل في تركيب نواة الذرة,True
awn3-09422912-n,برُوتُون,جسيم دون ذري ذو شحنة موجبة كتلته صغيرة جداً,True
awn3-09426609-n,سِلْسِلَة جِبَال,مجموعة مرتفعات متتالية تشكل سلسلة كاملة,True
