qabas_lemma_id,qabas_lemma,sama_lemma_id,sama_lemma
2020854900,"اِسْتَأْذَنَ | اِسْتَأْذَنَ على",390007462,"ٱِسْتَأْذَن 1"
2020855000,تَأذَّنَ,390002868,"تَأَذَّن 1"
2020855200,"تَأَذَّى ب | تَأَذَّى من",390002866,"تَأَذَّى 1"
2020855300,أَذِيَ,390000586,"أَذِيَ۪ 1"
2020855900,أَرِجَ,390000959,"أَرِجَ۪ 1"
2020855600,"أَرِبَ إلى | أَرِبَ ب | أَرِبَ في",390000958,"أَرِبَ۪ 1"
2020856100,"تَأَرَّجَ في",390002864,"تَأَرَّج 1"
2020856600,"أَرَمَ | أَرَمَ على",390000957,"أَرَمِ۪ 1"
2020857000,اِئْتَزَرَ,390004425,"ٱِئْتَزَر 1"
2020856800,أَزَرَ,390001204,"أَزَرِ۪ 1"
2020856700,أَزَحَ,390001203,"أَزَحِ۪ 1"
2020856900,آزَرَ,390001071,"آزَر 1"
2020857600,أَزِفَ,390001207,"أَزِفَ۪ 1"
2020857100,أَزَّرَ,390001208,"أَزَّر 1"
2020857500,أَزَّ2,390001249,"أَزُِّ۪ 1"
2020857700,تَأَزَّمَ,390002874,"تَأَزَّم 1"
2020858100,"اِسْتَأْسَدَ | اِسْتَأْسَدَ على",390007459,"ٱِسْتَأْسَد 1"
2020858300,أَسَرَ,390001731,"أَسَرِ۪ 1"
2020858400,اِسْتَأْسَرَ,390007460,"ٱِسْتَأْسَر 1"
2020858900,"تَأَسَّفَ على | تَأَسَّفَ ل",390002893,"تَأَسَّف 1"
2020859100,أَسِنَ,390001744,"أَسِنَ۪ 1"
2020859300,أَسَا1,390001726,"أَساُ۪ 1"
2020859200,تَأَسَّنَ,390002891,"تَأَسَّن 1"
2020859600,تَآسى,390002400,"تَآسَى 1"
2020859700,"تَأَسَّى | تَأَسَّى ب",390002889,"تَأَسَّى 1"
2020860200,"أَشَّرَ عَلى",390001955,"أَشَّر 1"
2023253396,اِسْتَأْصَلَ,390007475,"ٱِسْتَأْصَل 1"
2020860700,تَأَصَّلَ,390002885,"تَأَصَّل 1"
2020860800,أَطَّرَ,390002568,"أَطَّر 1"
2023250821,زَهْرَاءُ,390027627,"زَهْراء 2"
2023250684,"تَآخٍ | اَلْتَّآخِي",390023146,"تَآخِي 1"
2023250653,"تَفَاعُلِيَّةٌ ",390037070,"تَفاعُلِيَّة 1"
2023250404,فَرِيسِيٌّ,390018219,"فَرِيسِيّ 1"
2023251145,صِوَارٌ,3900376392,NULL
2023250749,"سَيْكُولُوجِيَا ",390012111,"سِيكُولُوجِيا 1"
2023252371,زَمَنِيٌّ,390027690,"زَمَنِيّ 1"
2023252402,تَسْبِيحٌ,390034551,"تَسْبِيح 1"
2023251010,"شَحْمِيٌّ ",390023551,"شَحْمِيّ 1"
2023252952,مُقَطَّعٌ,390026569,"مُقَطَّع 1"
2023251454,مُصْطَكَا,390039852,"مِسْتِكَة 1"
2023253344,مُعْضِلٌ,390025593,"مُعْضِل 1"
2023251893,"مُشْمُشٌ | مِشْمِشٌ",390019549,"مِشْمِش 1"
2023250336,زُجٌّ,390027835,"زُجّ 1"
2023250276,بُورَا,390010754,"بُورا 1"
2023249940,"مُشَاهِدٌ | مُشَاهِدَةٌ2",390023061,"مُشاهِد 1"
2023249797,فَنْدَقَةٌ,390020006,"فَنْدَقَة 1"
2023249789,فَصِيصٌ,3900377169,NULL
2023249779,مُتَلَازِمَةٌ,390028934,"مُتَلازِمَة 1"
2023249579,بُورُونْدِيٌّ,390010761,"بُورُونْدِيّ 1"
2023249580,سُولَاوِيسِيٌّ,390010466,"سُولاوِيسِيّ 1"
2023249582,مُعْدٍ,390025568,"مُعْدِي 1"
202005064,اِغْتِنَاءٌ,390020007,"ٱِغْتِناء 1"
202005065,غِنَائِيٌّ,390015948,"غِنائِيّ 1"
202005063,اِسْتِغْلَالِيٌّ,390018116,"ٱِسْتِغْلالِيّ 1"
202005062,مُغْرِقٌ,390025436,"مُغْرِق 1"
202005073,اِسْتِفْتَاحٌ,390019060,"ٱِسْتِفْتاح 1"
202005071,فَتِيٌّ,390017888,"فَتِيّ 1"
202005076,اِنْفِتَاحِيٌّ,390021705,"ٱِنْفِتاحِيّ 1"
202005074,اِفْتِتاحيٌّ,390020401,"ٱِفْتِتاحِيّ 1"
