synset_id,ao_concept_id,matched_word,added_words
awn3-13587738-n,47826,ذوبان,اِسْتِذَابَةٌ|إِذابَةٌ|صَهْرٌ|تَفَكَّكَ
awn3-01461483-n,53939,جنين,حَمِيلٌ
awn3-05953535-n,49412,فلسفه,حِكْمَةٌ
awn3-00902724-v,50808,ودع,شَيَّعَ
awn3-00816521-a,53624,مبكر,سَابِقٌ|مِبْكَارٌ
awn3-02746620-v,52387,تبقي,ظَلَّ2|بَقِيَ|بَقِيَ ب|بَقِيَ في|بَقِيَ من|تَبَقَّى من
awn3-02130856-a,47429,مختار,مُنْتَخِبٌ|مُنْتَخِبَةٌ|مُنْتَخَبٌ|مَطْلُوبٌ|مُصْطَفَى|مُفَضَّلٌ
awn3-03547513-n,49855,فندق,خانٌ|نُزُلٌ
awn3-13578969-n,53288,تطريه,إِرْخاءٌ
awn3-00277657-n,48052,تلطيخ,تَنْجِيسٌ|تَلْوِيثٌ|تَدْنِيسٌ
awn3-07488581-n,47006,انتصار,غُلْبٌ|غَلْبٌ|قَهْرٌ|فَوْزٌ|نَجَاحٌ|فَتْحٌ
awn3-04554141-n,46690,جدار,وَشِيعٌ|سُورٌ|مِتْرَاسٌ|عَقَبَةٌ|سِيَاجٌ|حَاجِزٌ
awn3-04209460-n,48712,متجر,حَانُوتٌ|دُكَّانٌ
awn3-01815703-v,53610,علا,ذُؤَابَةٌ|ذِرْوَةٌ|أَعْلى1|قِمَّةٌ|عُلُوٌّ|أَوْجٌ
awn3-00047662-v,48680,اكسي,سَرْوَلَ|ألْبَسَ على|سَتَرَ|حَجَبَ|غَطَّى|غَطَّى على
awn3-02947357-a,50354,وصفي,تَصْوِيرِيٌّ|إِيضَاحِيٌّ|تَوْضيحيَّةٌ
awn3-01137927-v,54460,قنص,صَادَ|اِصْطادَ
awn3-13485760-n,52781,تحميض,تَحَمُّضٌ
awn3-13551611-n,52430,اكسده,تَأَكْسُدٌ
awn3-13274154-n,46889,مكتسب,مُسْتَطْرَفٌ|مُبْتَكَرٌ|مُبْتَكِرٌ|مُسْتَحْدَثٌ|مُمَيَّزٌ|مُمَيَّزَةٌ
awn3-03483990-n,54329,صاله,قَاعَةٌ
awn3-03412032-n,48181,فتيل,فَتيلةٌ|ذُبَالَةٌ|شَعِيرَةٌ|شُعَيْرَةٌ
awn3-03690149-n,48685,قاطره,سَيَّارَةٌ|مَرْكَبَةٌ|عَرَبَةٌ|عَجَلَةٌ|حَافِلَةٌ|دُولَابٌ
awn3-01414308-a,48202,متوقع,مُتَرَقَّبٌ|مَرْجُوٌّ|مَأْمُولٌ|مُرَجَّحٌ|مُرَجَّحَةٌ|مُمْكِنٌ
awn3-15125724-n,46608,جمره,ضَرْمَةٌ|لَهَبٌ|لَهيبٌ|قَبَسٌ|جَذْوَةٌ|جِذْوَةٌ
awn3-02497847-v,48259,سلي,آسَى|وَاسَى|عَزَّى
awn3-03364412-n,53348,دورق,قِنِّينَةٌ|قَارُورَةٌ|قُمْقُمٌ|زُجَاجَةٌ
awn3-06771546-n,47502,تضخيم,مُغَالَاةٌ|غُلُوٌّ|تَجْسِيمٌ|تَكْبِيرٌ
awn3-13802818-n,51773,سببيه,عِلِّيَّةٌ
awn3-00786670-v,46958,استفهم,فَتَّشَ|فَتَّشَ على|فَتَّشَ عن|فَتَّشَ في|اِسْتَفْهَمَ عن|سَأَلَ
