conceptId,arabicSynset,englishSynset,gloss,example,dataSourceId
48749,نِيَافَةٌ | تَكَبُّرٌ | حَسَبٌ | عِزَّةٌ | عِزٌّ | سُمُوٌّ | سَنَاءٌ | سُؤْدَدٌ | سُؤْدُدٌ | فَخَامَةٌ | غُرُورٌ | عَظَمَةٌ | كَرَمٌ | جَاهٌ | مَكانَةٌ | سِيَادَةٌ | شَرَفٌ | قَدْرٌ | شَأْنٌ | خُيَلَاءُ | حُظْوَةٌ | وَجَاهَةٌ | عُلُوٌّ | عَلاءٌ | عُتُوٌّ | أُبَّهَةٌ | كِبْرِيَاءُ | مَجْدٌ | رِفْعَةٌ | مَرْتَبَةٌ | نَزَاهَةٌ | مَنْزِلَةٌ | شُمُوخٌ | عُلْوٌ,NULL,القدر الكبير والمكانة الرفيعة العالية,أبو نزار رجل ذو _ و نفوذ,43
48750,لَحَظَ | لَحَظَ إلى | تَرَصَّدَ | تَرَصَّدَ ل | رَقَبَ | اِرْتَقَبَ | تَرَقَّبَ | لَاحَظَ | رَصَدَ | رَاقَبَ | ناظَرَ,NULL,تولَّى الأمر وتابَعهُ,_ على حراسة العمارة ومعرفة الداخل والخارج منها,43
48751,حَزٌّ | غَوْرٌ | خَنْدَقٌ | أُخْدُودٌ,NULL,كتلة من الطبقات مستطيلة في العادة، هبطت على طول صدعين بالنسبة للصخور المجاورة لها على الجانبين,أكتشف العلماء _ تنحبس فيها الأصاهير البركانيّة منذ فترة زمنية كبيرة,43
48752,فَاصَلَ | شَارَطَ | سَاوَمَ | سَاوَمَ بِ | سَاوَمَ عَلَى | سَاوَمَ فِي,NULL,فأوَضَ البائِع في شراء السلعة,_ البائع على سِعْر الأرض,43
48753,سَدَّدَ | صَوَّبَ,NULL,جعل الشيء مستوي و موازي للخط الأفقي أي مستقيماً أفقياً,_ العامل حجر الطوب مع الحجر الذي يليه,43
48754,مُعْتَدِلٌ | سَوِيٌّ | قَوِيمٌ | مَرْضِيٌّ,NULL,صفة لشخص يتصرف برزانة و لا يخالف العرف والدين,القاضي يجب أن يكون انساناً _اً في حياته قبل أن يحكم بين الناس,43
48755,مُتَسَرِّعٌ | عَجُولٌ | سَرِيعٌ | مُنْدَفِعٌ,NULL,يُصْدِرُ أَحْكَاماً بِلاَ تَفْكِيرٍ وَلاَ رَوِيَّةٍ,كانَ _اً في أحكامِهِ,43
48756,ضِيَائِيَّةٌ | تَوَهُّجٌ | تَوَهَّجَ | تَأَلَّقَ | إِشْرَاقٌ | تَأَلُّقٌ | نُصُوعٌ | سُطُوعٌ,NULL,انتشار الضُّوء في المكان بقوة,كانَ _ الشمس يملأ الغرفة في الصباح,43
48757,مَصَّ1 | مَصَّ2 | سَحْبٌ | اِمْتِصاصٌ,NULL,رَشْف السائل وسحبه,قامَ بِ_ الماء من الخزّان,43
48758,نَهَبَ | نَهْبٌ | غَنِيمَةٌ | سَلَبَ | سَلْبٌ,NULL,يؤخذ من المحاربين في الحرب قهرًا,رَجَعُوا مِنَ الحَرْبِ بِ_,43
48759,صَفَحَ | صَفَحَ عن | غَفَرَ2 | سَامَحَ | خَلَّى | عَذَرَ | عَفَا | عَفَا عن2 | تَسَاهَلَ | تَسَاهَلَ في | أَعْفَى | اِغْتَفَرَ,NULL,رَفَعَ عَنْهُ اللَّوْمَ فيهِ ، سامَحَهُ,_ زيد عن جميع أخطاء عمرو,43
48760,سِنَادٌ,NULL,دعامة إنشائية ساندة,نقوم في مختبر الكمياء بتثبيت الأنابيب بواسطة _,43
48761,شَبَّكَ,NULL,اقفله عن طريق ربط أطرافه بعضها ببعض,_ الاحتلال أمام المصلين في باحات المسجد الأقصى,43
48762,مُحْزِنٌ | كَئِيبٌ,NULL,صفة ما يسبب والأسى والوجع النفسي,تعرض زيد إلى حادث _,43
48763,لَفَّعَ | لَفَّ | غَلَّفَ | غَمَرَ | دَثَّرَ | أَحَاطَ | أَحَاطَ ب | غَطَّى | غَطَّى على,NULL,قام بإخفائه وسترة من كل الجوانب حتى لم يعد ظاهراً,_ الفلاح البلح جيداً حتى ينضج,43
48764,أتْلَفَ | فَسَدَ | أَفْسَدَ | شَوَّهَ,NULL,غَيَّرَ شَكْلَهُ الْأَوَّلَ ، قَبَّحَهُ وأَفْسَدَ هَيْئَتَهُ,_ السجانون جسد الأسير البطل,43
48765,أَلْغَى | أَبْطَلَ | أَحْبَطَ | عاقَ2 | عاقَ1 | كَفَّ2 | كَفَّ عن | مَنَعَ | اِعْتَرَضَ | اِعْتَرَضَ على | أَعَاقَ,NULL,حال دون وقوع أو تحقق الشيء,وجود الحواجز الكثيرة _ الكثير من الرحل السياحية للداخل المحتل,43
48766,أَحْمَضَ | حَمَّضَ,NULL,غمر الفيلم بمحلول الحمض كي تظهر الصور عليه ويعالجها,كان صاحب الاستوديو قد _ ما يقارب الخمسين فيلماً لحفلات الأعراس هذا الشهر,43
48767,شَرِيطٌ,NULL,شريط مقسم أجزاء عشرية ومئوية يستعمل في القياس,استخدمَ ال_ لقياس عُرْض الطَّأولة,43
48769,مَرْسَةٌ | مَرَسَةٌ | شَرِيطٌ,NULL,نسيج من الحرير أَو القطن أَو غيرهما يُبرَمُ فيكون كالحبْل الدَّقيق,صنع شبكة من ال_,43
48770,اِسْتَرَابَ | اِرْتِيَابٌ | ظَنَّ | ظَنَّ بـ | اِرْتابَ ب | اِرْتابَ في | ارتابَ من | مَظَانُّ | رِيبَةٌ | رَيْبٌ | شَكٌّ | مُخَيِّلَةٌ | مُرْيَةٌ | مِرْيَةٌ | مَخِيلَةٌ,NULL,حالة نفسية يتردد معها الذهن بين الاثبات والنفي ويتوقف عن الحكم,_ في صديقِهِ وَلم يأمن له,43
48771,وَجْهِيٌّ | شَكْلِيٌّ | صُوريٌّ,NULL,أنْ يَهْتَمُ ّ الاهتمام بِمَا كلّ ما هُوَ ظَاهِرٌ وَخَارِجِيٌّ دُونَ الجَوْهَرِ,يَهْتَمُّ بِالقَضَايَا ال_,43
48772,عاقَ2 | عاقَ1 | عَرْقَلَ | أَعَاقَ | أثْقَلَ | أثْقَلَ على,NULL,صَعَّبَ الأمر فأخّره وَشَوَّشَهُ,_ الجيش وصول المصلين للمسجد الأقصى فأخّرهم ثلاث ساعات لكنّهم وصلوا في النهاية,43
48773,جَبَرَ | غَصَبَ | أَرْغَمَ | قَهَرَ | قَسَرَ | أَلْزَمَ | أَكْرَهَ | أجْبَرَ,NULL,جعله يفعل شيئا رُغْما عنه دون مُصادَقة إرادته لذلك,_ الإحتلال الأسير المضرب عن الطعام على أخذ المحلول المغذي لفك إضرابه,43
48774,فَارِزَةٌ | شَوْلَةٌ | فَاصِلَةٌ,NULL,الفاصِلٌ بَيْنَ جملتين أَمْرَيْنِ,وَضَعَ ال_ بَيْنَ الجُمْلَتَيْنِ,43
48775,جِعَالةٌ | مُرتَّبٌ | تَعْرِيفَةٌ | عُمْلَةٌ | مَعاشٌ | أُجْرَةٌ | إِجَارَةٌ1 | رَاتِبٌ | نَوْلٌ | أَجْرٌ,NULL,المقابل المادّي الذي يتلقاه طرف أو أكثر نتيجة القيام بعمل,يَِتعبُ ويشقى العامل طوال النهار من اجل الحصول على _,43
48776,أَقامَ | أَقامَ ب | أَقامَ في | أَقامَ ل | أَجْرَى,NULL,كان مسئولاً وقائماً على حدوث ووقع شيء ما,_ المعهد الفلسطيني معرضاً تراثياً,43
48777,ذَمَّ | اِسْتَفْظَعَ | اِسْتَبْشَعَ | شَجَبَ | اِسْتَشْنَعَ | اِسْتَنْكَرَ | اِسْتَقْبَحَ | قَبَّحَ | هَجَّنَ | اِسْتَهْجَنَ | أَنْكَرَ | عَارَضَ | عَارَضَ في | اِعْتَرَضَ | اِعْتَرَضَ على | أَدَانَ,NULL,عابَه على الأمر واستغربَ منه فعله,_ عليه شربه للخمر,43
48778,مَتِينٌ | مَكِينٌ | شَدِيدٌ | قَوِيٌّ,NULL,عَظِيمُ القُدْرَةِ وذو بأسٍ,كَانَ _ البَأْسِ فِي الْمَعْرَكَةِ,43
48779,حفظ الجلود بالتَّمليح,NULL,هو وضع الملح على الجلد حتّى لا يتلف,قام اللحام بتقطيع الذبيحة ثم قام ب_,43
48780,عَبَّأَ | نَقَلَ | شَحَنَ,NULL,حَمَّلَ وَمَلَأ بهدف النقل,_ العمال الشاحنة بالصناديق ليتم نقلها,43
48781,نَكِدَ,NULL,تعكر نفسية الشخص أو قلة حظه وعدم حصوله على ما يريد بسبب منغّص ما,_ت دلال ولم تكتب شيئاً في ورقة الامتحان,43
48782,اكسوثِرمي | مُطلِقٌ للحرارة | طارِدٌ للحرارة,NULL,صفة الشيء طارد للحرارة,يعتبر اللون الأبيض لون _,43
48783,صَرْخَةٌ | صَيْحَةٌ,NULL,ا اصدار صوت مرتفع وقوي مرة واحدة,سمعنا _ أم هاشم عندما جاءها خبر استشهاده,43
48784,صَفَّى | نَزَحَ | نَزَحَ إلى | نَزَحَ عن | صَرَفَ,NULL,فعل إنهاء شيء ما,_ نبيل ماء الخزان في غسيل سيارته,43
48785,صدع طارد | صدع مستعرض | صدع مفسح,heave fault | transcurrent | transverse fault,الصدع الذي يتحرك الجانبان به حركة أفقية، فليس هناك رمية لاأسية ولا جانب صاعد ولا جانب هابط، ولكن هناك فسحة (الزحزحة الأفقية) قد تطول في بعض الأحيان آلاف الأمتار.,NULL,43
48786,أَجْمَلَ | أَجْمَلَ في | لَخَّصَ | اِخْتَزَلَ | اِخْتَصَرَ | اِخْتَصَرَ في | اِقْتَصَرَ على | اِقْتَضَبَ | أوْجَزَ | أوْجَزَ في | حَدَّدَ,NULL,عبّر عن الكثير بالقليل الدّال,_ كل أحداث المسابقة بجملتين مُعبٍّرتين,43
48787,صَنْدُوقٌ | صُنْدُوقٌ | عُلْبَةٌ,NULL,وعاء كبيرة من الخشب غالبا وقد يكون حديدًا يستخدم لوضع الأشياء داخله، ويكون لها عادة جهة قابلة للفتح سواء بمفاصل أو بالإزالة الكاملة,تضع رباب حليها في _,43
48788,سَجَّلَ,NULL,أضاف المطلوب إلى الجدول ليصبح جزء ًامنه,بحلول أول أيام رمضان كان صاحب البقّالة قد _ كل ما يحتاجه لزبائنه,43
48790,دَغَلٌ,NULL,منطقة جغرافية كثيرة وملتفة الأشجار مليئة بالكائنات المفترسة,من الصعب السير في _ لوجود كائنات غريبة متوحشة,43
48791,صِمام استنزاف | صِمام الصرف | صِمام تصريف | صِمام تفريغ | مِحْبَس استنزاف,NULL,اداة تتحكم بكمية الشيء الذي يخرج من أنبوب أو حيز,لقد كسر _ حنفية الحديقة,43
48792,خَالِصٌ | صِرْفٌ | طَبِيعِيٌّ | مَحْضٌ,NULL,خلو الشيء من الشوائب والمواد الغريبة,الذهب ال_ أغلى ثمناً من غيره,43
48793,جَلِدَ | تَجَمَّدَ | تَجَمَّدَ في | جَمَّدَ,NULL,أصبح ساكناً صلباً,_ مكانه من شدة الخوف وكأنه ميتاً,43
