concept_id,subTypeOfID,partOfID,instanceOfID
293592,293589,NULL,NULL
293593,293589,NULL,NULL
293594,293593,NULL,NULL
293595,293588,NULL,NULL
293596,293588,NULL,NULL
293597,293588,NULL,NULL
293598,293154,NULL,NULL
293599,293111,NULL,NULL
293600,293597,NULL,NULL
293601,293597,NULL,NULL
293602,293597,NULL,NULL
293603,293597,NULL,NULL
293604,293597,NULL,NULL
293605,293597,NULL,NULL
293606,293597,NULL,NULL
293607,293597,NULL,NULL
293608,293597,NULL,NULL
293609,293597,NULL,NULL
293610,293597,NULL,NULL
293611,293597,NULL,NULL
293612,293595,NULL,NULL
293613,293595,NULL,NULL
293614,293595,NULL,NULL
293615,293595,NULL,NULL
293616,293595,NULL,NULL
293617,293595,NULL,NULL
293618,293595,NULL,NULL
293619,293595,NULL,NULL
293620,293595,NULL,NULL
293621,293595,NULL,NULL
293622,293595,NULL,NULL
293623,293595,NULL,NULL
293624,293586,NULL,NULL
293625,293586,NULL,NULL
293626,293586,NULL,NULL
293627,293586,NULL,NULL
293628,293586,NULL,NULL
293629,293586,NULL,NULL
293630,293586,NULL,NULL
293631,293585,NULL,NULL
293632,293585,NULL,NULL
293633,293585,NULL,NULL
293634,293599,NULL,NULL
293635,293585,NULL,NULL
293636,293585,NULL,NULL
293637,293585,NULL,NULL
293638,293753,NULL,NULL
293639,293585,NULL,NULL
293640,293585,NULL,NULL
293641,293585,NULL,NULL
293642,293585,NULL,NULL
293644,293585,NULL,NULL
293645,293585,NULL,NULL
293646,293585,NULL,NULL
293647,293585,NULL,NULL
293648,293585,NULL,NULL
293649,293585,NULL,NULL
293650,293585,NULL,NULL
293651,293230,NULL,NULL
293652,293576,NULL,NULL
293653,293576,NULL,NULL
293655,293656,NULL,NULL
293656,293576,NULL,NULL
293657,293576,NULL,NULL
293658,293576,NULL,NULL
293659,293576,NULL,NULL
293660,293573,NULL,NULL
293661,293573,NULL,NULL
293662,293573,NULL,NULL
293663,293573,NULL,NULL
293664,293573,NULL,NULL
293665,293573,NULL,NULL
293667,293573,NULL,NULL
293668,293573,NULL,NULL
293669,293573,NULL,NULL
293670,293573,NULL,NULL
293671,293573,NULL,NULL
293672,293667,NULL,NULL
293673,293667,NULL,NULL
293674,293667,NULL,NULL
293675,293673,NULL,NULL
293676,293673,NULL,NULL
293677,293676,NULL,NULL
293678,293676,NULL,NULL
293679,293676,NULL,NULL
293680,293201,NULL,NULL
293681,293576,NULL,NULL
293682,293576,NULL,NULL
293683,293568,NULL,NULL
293684,293568,NULL,NULL
293685,293507,NULL,NULL
293686,293507,NULL,NULL
293687,293507,NULL,NULL
293688,293507,NULL,NULL
293689,293510,NULL,NULL
293690,293510,NULL,NULL
293691,293510,NULL,NULL
293692,293520,NULL,NULL
293693,293520,NULL,NULL
293694,52558,NULL,NULL
293695,293520,NULL,NULL
293696,293504,NULL,NULL
293700,293572,NULL,NULL
293701,293504,NULL,NULL
293707,293696,NULL,NULL
293708,293696,NULL,NULL
293709,293572,NULL,NULL
293710,293572,NULL,NULL
293711,293572,NULL,NULL
293712,293572,NULL,NULL
293713,293591,NULL,NULL
293715,293593,NULL,NULL
293716,293573,NULL,NULL
293717,293505,NULL,NULL
293718,293505,NULL,NULL
293719,293505,NULL,NULL
293720,293505,NULL,NULL
293721,46187,NULL,NULL
293722,293719,NULL,NULL
293723,293719,NULL,NULL
293724,NULL,NULL,293516
293725,293516,NULL,NULL
293726,293516,NULL,NULL
293727,293516,NULL,NULL
293728,293516,NULL,NULL
293729,293512,NULL,NULL
293730,293512,NULL,NULL
293731,293512,NULL,NULL
293732,293512,NULL,NULL
293733,293512,NULL,NULL
293734,293576,NULL,NULL
293735,293576,NULL,NULL
293736,293576,NULL,NULL
293738,293576,NULL,NULL
293739,293656,NULL,NULL
293740,293572,NULL,NULL
293741,293505,NULL,NULL
293742,293505,NULL,NULL
293744,293580,NULL,NULL
293745,293580,NULL,NULL
293746,293580,NULL,NULL
293747,293580,NULL,NULL
293748,293576,NULL,NULL
293750,293245,NULL,NULL
293751,293748,NULL,NULL
293752,293748,NULL,NULL
293753,52661,NULL,NULL
293754,293576,NULL,NULL
293755,293572,NULL,NULL
293756,NULL,NULL,NULL
293757,293573,NULL,NULL
293758,293573,NULL,NULL
293759,293573,NULL,NULL
293760,293806,NULL,NULL
293761,293806,NULL,NULL
293762,293806,NULL,NULL
293763,293806,NULL,NULL
293764,293806,NULL,NULL
293765,293155,NULL,NULL
293766,293576,NULL,NULL
293767,NULL,NULL,293750
293768,NULL,NULL,293750
293770,NULL,NULL,NULL
293771,293505,NULL,NULL
293772,293512,NULL,NULL
293773,293512,NULL,NULL
293775,293505,NULL,NULL
293776,293505,NULL,NULL
293777,293670,NULL,NULL
293778,293777,NULL,NULL
293779,293777,NULL,NULL
293780,293777,NULL,NULL
293781,293777,NULL,NULL
293782,293777,NULL,NULL
293783,293777,NULL,NULL
293784,293777,NULL,NULL
293785,293777,NULL,NULL
293786,293777,NULL,NULL
293787,293777,NULL,NULL
293788,293670,NULL,NULL
293789,293788,NULL,NULL
293790,293788,NULL,NULL
293791,293788,NULL,NULL
293792,293791,NULL,NULL
293793,293791,NULL,NULL
293795,293791,NULL,NULL
293796,293777,NULL,NULL
293797,293803,NULL,NULL
293798,293803,NULL,NULL
293799,293803,NULL,NULL
293800,293803,NULL,NULL
293801,293803,NULL,NULL
293802,293803,NULL,NULL
293803,293759,NULL,NULL
293805,293759,NULL,NULL
293806,293805,NULL,NULL
293808,293671,NULL,NULL
293809,293671,NULL,NULL
293810,293766,NULL,NULL
293811,293766,NULL,NULL
293813,293148,NULL,NULL
293815,293484,NULL,NULL
293816,293484,NULL,NULL
293817,293815,NULL,NULL
293818,293815,NULL,NULL
293819,293818,NULL,NULL
293820,293818,NULL,NULL
293821,293815,NULL,NULL
293822,293817,NULL,NULL
293823,293817,NULL,NULL
293824,293821,NULL,NULL
293825,293824,NULL,NULL
293826,293824,NULL,NULL
293827,293824,NULL,NULL
293828,293825,NULL,NULL
293829,293245,NULL,NULL
293830,293825,NULL,NULL
293831,293820,NULL,NULL
293832,293820,NULL,NULL
293833,293819,NULL,NULL
293834,293819,NULL,NULL
293835,293819,NULL,NULL
293836,293819,NULL,NULL
293837,293823,NULL,NULL
293838,293864,NULL,NULL
293839,293864,NULL,NULL
293840,293835,NULL,NULL
293841,293835,NULL,NULL
293842,293835,NULL,NULL
293843,293833,NULL,NULL
293844,293843,NULL,NULL
293845,293833,NULL,NULL
293846,293831,NULL,NULL
293847,293831,NULL,NULL
293848,293831,NULL,NULL
293849,293848,NULL,NULL
293850,293848,NULL,NULL
293851,293848,NULL,NULL
293852,293816,NULL,NULL
293853,293816,NULL,NULL
293854,293816,NULL,NULL
293855,293816,NULL,NULL
293856,293816,NULL,NULL
293857,293852,NULL,NULL
293858,NULL,NULL,NULL
293859,293852,NULL,NULL
293860,293852,NULL,NULL
293861,293825,NULL,NULL
293862,293816,NULL,NULL
293863,293843,NULL,NULL
293864,293823,NULL,NULL
293865,293281,NULL,NULL
293866,293281,NULL,NULL
293867,293302,NULL,NULL
293868,293247,NULL,NULL
300001,293301,NULL,NULL
300002,293301,NULL,NULL
300003,293301,NULL,NULL
300004,293215,NULL,NULL
300005,293253,NULL,NULL
300006,46187,NULL,NULL
200000001,49323,NULL,NULL
200000002,49323,NULL,NULL
200000004,293225,NULL,NULL
200000005,49323,NULL,NULL
200000006,54240,NULL,NULL
200000010,54240,NULL,NULL
200000013,54240,NULL,NULL
200000014,54240,NULL,NULL
200000015,54240,NULL,NULL
200000016,54240,NULL,NULL
200000017,54240,NULL,NULL
200000018,54240,NULL,NULL
200000019,54240,NULL,NULL
200000020,54240,NULL,NULL
200000022,54240,NULL,NULL
200000023,293472,NULL,NULL
200000024,200000023,NULL,NULL
200000025,293472,NULL,NULL
200000027,293472,NULL,NULL
200000028,455000001,NULL,NULL
200000029,455000001,NULL,NULL
200000030,455000001,NULL,NULL
200000031,455000001,NULL,NULL
200000032,455000001,NULL,NULL
200000033,293472,NULL,NULL
200000034,293472,NULL,NULL
303004256,46187,NULL,NULL
303004258,46187,NULL,NULL
303004261,46187,NULL,NULL
303004262,46187,NULL,NULL
303004264,46187,NULL,NULL
303004267,46187,NULL,NULL
303005473,46187,NULL,NULL
303012862,46187,NULL,NULL
303012863,46187,NULL,NULL
303012864,46187,NULL,NULL
303014125,46187,NULL,NULL
303015646,46187,NULL,NULL
303016698,46187,NULL,NULL
303017980,46187,NULL,NULL
303043240,46187,NULL,NULL
303053588,46187,NULL,NULL
303053599,46187,NULL,NULL
303053600,46187,NULL,NULL
303062933,46187,NULL,NULL
293490,50003,NULL,NULL
293492,50003,NULL,NULL
293493,50003,NULL,NULL
293499,50003,NULL,NULL
293500,50003,NULL,NULL
293501,50003,NULL,NULL
293509,50003,NULL,NULL
42954,293120,NULL,NULL
27708,293121,NULL,NULL
293119,293134,NULL,NULL
41697,293200,NULL,NULL
41828,293200,NULL,NULL
41968,293200,NULL,NULL
42446,293200,NULL,NULL
42819,293200,NULL,NULL
41575,293201,NULL,NULL
42133,293201,NULL,NULL
42134,293201,NULL,NULL
42135,293201,NULL,NULL
42302,293201,NULL,NULL
42972,293201,NULL,NULL
42994,293201,NULL,NULL
41592,293202,NULL,NULL
41593,293202,NULL,NULL
41702,293202,NULL,NULL
41783,293202,NULL,NULL
41025,293203,NULL,NULL
41029,293203,NULL,NULL
41100,293203,NULL,NULL
41105,293203,NULL,NULL
41106,293203,NULL,NULL
41107,293203,NULL,NULL
41108,293203,NULL,NULL
41109,293203,NULL,NULL
41110,293203,NULL,NULL
41111,293203,NULL,NULL
41112,293203,NULL,NULL
41113,293203,NULL,NULL
41114,293203,NULL,NULL
41115,293203,NULL,NULL
41116,293203,NULL,NULL
41117,293203,NULL,NULL
41137,293203,NULL,NULL
41172,293203,NULL,NULL
41173,293203,NULL,NULL
41174,293203,NULL,NULL
41175,293203,NULL,NULL
41221,293203,NULL,NULL
41238,293203,NULL,NULL
41282,293203,NULL,NULL
41412,293203,NULL,NULL
41413,293203,NULL,NULL
41414,293203,NULL,NULL
41472,293203,NULL,NULL
41500,293203,NULL,NULL
41552,293203,NULL,NULL
41553,293203,NULL,NULL
41554,293203,NULL,NULL
41555,293203,NULL,NULL
41556,293203,NULL,NULL
41560,293203,NULL,NULL
41561,293203,NULL,NULL
41562,293203,NULL,NULL
41625,293203,NULL,NULL
41626,293203,NULL,NULL
41630,293203,NULL,NULL
41631,293203,NULL,NULL
41648,293203,NULL,NULL
41663,293203,NULL,NULL
41712,293203,NULL,NULL
41713,293203,NULL,NULL
41714,293203,NULL,NULL
41715,293203,NULL,NULL
41734,293203,NULL,NULL
41812,293203,NULL,NULL
41834,293203,NULL,NULL
41914,293203,NULL,NULL
41922,293203,NULL,NULL
41951,293203,NULL,NULL
41959,293203,NULL,NULL
41994,293203,NULL,NULL
42000,293203,NULL,NULL
42014,293203,NULL,NULL
42015,293203,NULL,NULL
