ao_concept_id,synset_id,arabic_words,has_hypernym
51660,awn3-15321971-u,حَدِيدٌ1,False
51664,awn3-15321972-u,غُثَاءٌ|رَغْوَةٌ|زَبَدٌ,False
51665,awn3-15321973-u,صمام تصريف الماء|محْبس تصريف|تصريف الماء,False
51667,awn3-15321974-u,صخورٌ جوفيّة صُهاريّة|صخورٌ جوفيّة نارية|صُخورٌ بْلُوتُونية,False
51672,awn3-15321975-u,بَلْتَنَ,False
51676,awn3-15321976-u,قِلَّة المُمَارَسة|عَدَمُ الخِبْرة|عَدَمُ الدُّرْبَة,False
51677,awn3-15321977-u,كُهَيْرَبٌ|إِلِكْتْرْونٌ|أَلِكْتْرُونٌ,False
51680,awn3-15321978-u,معدل السرعة|حاكِمُ السرعة|حاكِمُ السُّرعة,False
51681,awn3-15321979-u,فَارَةٌ|مِسْحَاجٌ|مِسْحَجَةٌ,False
51682,awn3-15321980-u,مِكْحَتَةٌ|مِكْشَطَةٌ|مِجْرَفٌ,False
51686,awn3-15321981-u,مَصُونٌ,False
51687,awn3-15321982-u,مُسْتَوصَفٌ,False
51689,awn3-15321983-u,لا خَلُوط|لا يمتَزج|غير قابلٍ للآمتزاج,False
51690,awn3-15321984-u,مسارعٌ ذري|معجّلٌ ذري|محطّم الذرات,False
51692,awn3-15321985-u,مُوقفة|مُحتَجزة|أداةُ احتجاز,False
51693,awn3-15321986-u,حَامِضٌ|مُزٌّ|حَامِزٌ,False
51694,awn3-15321987-u,مُفَرَّعٌ|مُتَفَرِّعٌ,False
51695,awn3-15321988-u,إقلاعُ الطائرة|نُهوض الطائرة|انطلاق الصاروخ,False
51700,awn3-15321989-u,بادئة بمعنى بدون|بادئة بمعنى غير|بادئة بمعنى لا,False
51702,awn3-15321990-u,شَدَّادٌ,False
51703,awn3-15321991-u,نذير ارتفاع مستوى السائل|نذير انخفاض مستوى السائل|مُنبِّه مُنبِّه كهربائيّ ذو عوّامه ذو عوّامه,False
51706,awn3-15321992-u,عامة نجاة|عامَةُ نَجاة|طافية الإنقاذ,False
51708,awn3-15321993-u,عَزمُ الدّوَران|عَزْمُ اللَّيْ|مُزدَوِجَةُ التدوير,False
51709,awn3-15321994-u,زأويةُ ضَبْطٍ قائمة|زأويَةُ النجَّار|قُونية,False
51714,awn3-15321995-u,مُبْهِجٌ|مَبْهَجٌ|مُفْرِحٌ,False
51715,awn3-15321996-u,حَامِلٌ1|رَكُوبَةٌ,False
51717,awn3-15321997-u,مِطْمَارٌ,False
51720,awn3-15321998-u,أكسيد الحديد الأحمر البرَّاق|شاذَجْ,False
51724,awn3-15321999-u,جِلَّوزٌ|بُنْدُقٌ,False
51727,awn3-15322000-u,طِبَاقِيَّةٌ|طَبَقِيَّةٌ|تَطَبُّقٌ,False
51729,awn3-15322001-u,حَيْدٌ|دَبْرٌ1,False
51733,awn3-15322002-u,مُبْتَذَلٌ|قَدِيمٌ,False
51737,awn3-15322003-u,الفَحْم الأبيض,False
51740,awn3-15322004-u,الحامض النّخِيلي|حامضُ البَلْمِتيك,False
51742,awn3-15322005-u,حَيْضٌ|طَمْثٌ,False
51744,awn3-15322006-u,دجلة والفرات,False
51745,awn3-15322007-u,مُسْتَلْقٍ|مُتَمَدِّدٌ|مُمْتَدٌّ,False
51746,awn3-15322008-u,عاصِفٌ,False
51748,awn3-15322009-u,فَطِيرٌ,False
51750,awn3-15322010-u,غاز الاستِصباح|غاز الاستِضاءة|غاز الفحم,False
51757,awn3-15322011-u,مُلَبَّسٌ,False
51758,awn3-15322012-u,مَسْقَطٌ|مَسْقِطٌ,False
51761,awn3-15322013-u,كَامَلَ,False
51765,awn3-15322014-u,خَوّانٌ,False
51769,awn3-15322015-u,ثارَ|ثارَ على|اِضْطَرَبَ,False
51776,awn3-15322016-u,فَقَأَ|سَمَلَ2,False
51777,awn3-15322017-u,رُغامٌ,False
51782,awn3-15322018-u,إرتفاع المَد|ذُرْوَة المَد,False
51785,awn3-15322019-u,خَمِيسٌ,False
51786,awn3-15322020-u,جارِيةٌ,False
51788,awn3-15322021-u,أعْرَبَ|أعْرَبَ عن,False
51790,awn3-15322022-u,عُقَابٌ,False
51795,awn3-15322023-u,مُعَشَّرٌ,False
51796,awn3-15322024-u,إِمْهَالٌ,False
51801,awn3-15322025-u,فِتْرٌ,False
51803,awn3-15322026-u,إِخْطَارٌ,False
51804,awn3-15322027-u,خُفَّانٌ,False
51805,awn3-15322028-u,ظَمَأَ,False
51806,awn3-15322029-u,بِدْعٌ,False
51807,awn3-15322030-u,أَبْدَلَ,False
51809,awn3-15322031-u,مَهِينٌ,False
51810,awn3-15322032-u,تَشْرِيدٌ,False
51815,awn3-15322033-u,حَبَا1,False
51816,awn3-15322034-u,سَرَى1|سَرَى1 ب|سَرَى1 على,False
51817,awn3-15322035-u,سَعَى1|سَعَى1 إلى|سَعَى1 في,False
51820,awn3-15322036-u,خَمَشَ,False
51823,awn3-15322037-u,رِيشَةٌ,False
51824,awn3-15322038-u,قلم,False
51829,awn3-15322039-u,قَطَّاعَةٌ,False
51832,awn3-15322040-u,صُنْبُورٌ,False
51835,awn3-15322041-u,نَزٌّ|تَسَيُّلٌ,False
51839,awn3-15322042-u,خَامٌ,False
51850,awn3-15322043-u,خَمَّارٌ,False
51851,awn3-15322044-u,كُمَيْتٌ,False
51853,awn3-15322045-u,عُقَابٌ,False
51856,awn3-15322046-u,تَعَرَّضَ إلى|تَعَرَّضَ ل,False
51867,awn3-15322047-u,خط المحور,False
51868,awn3-15322048-u,ناوَلَ,False
51869,awn3-15322049-u,دَكٌّ,False
51871,awn3-15322050-u,خَدَشَ,False
51877,awn3-15322051-u,بَرِيءٌ,False
51878,awn3-15322052-u,غّير قانوني|غير شُرعي,False
51881,awn3-15322053-u,لَاهُوتٌ,False
51882,awn3-15322054-u,هَرِيسَةٌ,False
51883,awn3-15322055-u,تَصَدُّقٌ,False
51884,awn3-15322056-u,شَقْرَاء,False
51887,awn3-15322057-u,رَائِدٌ|رَائِدَةٌ,False
51888,awn3-15322058-u,مُنَقِّبٌ,False
51889,awn3-15322059-u,نَسَمَةٌ|رَبْوٌ,False
51890,awn3-15322060-u,نَسِيمٌ|نَسَمَةٌ,False
51891,awn3-15322061-u,إِجْهاضٌ,False
51895,awn3-15322062-u,مَصْلٌ,False
51896,awn3-15322063-u,شَطِيرَةٌ,False
51901,awn3-15322064-u,تُحْفَةٌ,False
51905,awn3-15322065-u,مِيكْرُوسْكُوبِيٌّ|مِجْهَرِيَّةٌ,False
51907,awn3-15322066-u,نَعَّالٌ,False
51909,awn3-15322067-u,كِينَا,False
51910,awn3-15322068-u,مَعْمُولٌ,False
51911,awn3-15322069-u,مَلَكُوتٌ,False
51915,awn3-15322070-u,كِينَا,False
51916,awn3-15322071-u,مِحْمَصَةٌ,False
51917,awn3-15322072-u,قَرَنْفُلٌ|قُرَنْفُلٌ,False
51919,awn3-15322073-u,يُشْرَب|صالح للشرب|صالحٌ للشُّرب,False
51920,awn3-15322074-u,تَابُوتٌ,False
51924,awn3-15322075-u,قنقن,False
51927,awn3-15322076-u,تَوْضِيبٌ,False
51931,awn3-15322077-u,مِكْشَافٌ,False
51934,awn3-15322078-u,مِلْحِيٌّ|مالِحٌ,False
51940,awn3-15322079-u,ثَقُلَ|ثَقُلَ على|ثَقُلَ عن,False
51942,awn3-15322080-u,أيْ,False
51945,awn3-15322081-u,عُرْوَةٌ,False
51953,awn3-15322082-u,مُعَيَّنٌ,False
51954,awn3-15322083-u,الخِنذيذ,False
51955,awn3-15322084-u,جِنٌّ,False
51959,awn3-15322085-u,حَامِلَةٌ,False
51960,awn3-15322086-u,شَجَّ1,False
51961,awn3-15322087-u,لَطْخٌ,False
51962,awn3-15322088-u,حَامِلَةٌ,False
51966,awn3-15322089-u,اِحْمِرَارٌ,False
51969,awn3-15322090-u,ثَعْلَبَةٌ,False
51971,awn3-15322091-u,مِنْهَاجٌ,False
51972,awn3-15322092-u,مِسْعَرٌ,False
51974,awn3-15322093-u,التوتر السطحي,False
51979,awn3-15322094-u,عَبْقَريٌّ,False
51983,awn3-15322095-u,عِلم التَّارِيْخ,False
51984,awn3-15322096-u,رَبٌّ,False
51986,awn3-15322097-u,نَجَّارَة,False
51988,awn3-15322098-u,شمع الموز,False
51989,awn3-15322099-u,صِدْيرِيٌّ,False
51990,awn3-15322100-u,صَفَّارَةٌ,False
51991,awn3-15322101-u,غَطِيطٌ|شَخِيرٌ,False
51994,awn3-15322102-u,سُعْرَة,False
51995,awn3-15322103-u,سُعْرَةٌ,False
51996,awn3-15322104-u,سَعْرَةٌ,False
51997,awn3-15322105-u,روم,False
51998,awn3-15322106-u,رُومٌ,False
51999,awn3-15322107-u,رُومٌ,False
52000,awn3-15322108-u,سُباعِيٌّ,False
