ili_id,pos,arabic_words,ao_concept_id
i13804,a,كائن ذو حافر|حيوان ذو حافر,293392
i48194,n,كائن زوجي الأصابع|حافر زوجي الأصابع,293393
i48049,n,كائن فردي الأصابع|حافر فردي الأصابع,293394
i48552,n,كائن عديم الأسنان|حيوان عديم الأسنان,293395
i47762,n,كائن أرنبي|حيوان أرنبي,293397
i27311,v,طَائِرٌ,293399
i44226,n,تِمْسَاحٌ,293402
i31120,v,حَيَّةٌ|أَفْعَىً,293404
i91099,n,سِحْلِيَّةٌ,293405
i105540,n,نسيج نباتي وعائي,293406
i105549,n,خَشَبٌ 2,293407
i105551,n,لِحَاءٌ,293408
i65893,n,جهاز دوران,293416
i65883,n,جهاز تناسلي,293417
i65331,n,جهاز لمفاوي,293420
i64965,n,جهاز غدد صماء,293421
i65884,n,جهاز بولي,293422
i64964,n,جهاز هضمي|نظام هضمي,293423
i35,s,إِسْفَنْجِيٌّ,293425
i45508,n,دودة حلقية,293426
i45484,n,دودة اسطوانية,293427
i44582,n,كائن ذو كلابات,293431
i94189,n,حَشَرَةٌ,293432
i45693,n,كائن رأسي القدم,293434
i45615,n,كائن متعدد الأصداف,293437
i45454,n,دودة مفلطحة|دودة مسطحة,293438
i45455,n,تِيرْبِلَّارْيَا,293439
i45457,n,دودة ورقية,293440
i45468,n,سِيسْتُودَا,293441
i47735,n,قنفد البحر,293444
i47742,n,كائن زنبقي,293445
i47751,n,خيار البحر,293446
i45368,n,حيوان لاسع,293447
i45393,n,حيوان لاسع زهري,293448
i45373,n,حيوان لاسع فنجاني,293449
i45379,n,حيوان لاسع هايدري,293450
i65885,n,جهاز تنفسي,293458
i24270,v,نَجْمٌ,293461
i85987,n,كَوْكَبٌ,293463
i31633,v,يَابِسَةٌ,293484
i36284,n,قَلْعَةٌ,293486
i54346,n,مَنْجَمُ ذَهَب,293490
i52339,n,مَنْجَمُ نُحَاس,293492
i58948,n,مَنْجَمُ فِضَّة,293493
i59775,n,مَنْجَمُ كِبْرِيت,293500
i27438,v,مَقْلَعٌ|مَحْجَرٌ,293501
i38609,n,مَنْجَمُ مِلح,293509
i18211,r,بِئْرٌ,293511
i50183,n,بِئْرٌ أَرتُوازيّة|بِئْرٌ أُرتُوازيّة,293513
i66273,n,هيكل خارجي,293527
i64980,n,غدة زعترية,293535
i56723,n,بِئْر بِتْرول|بِئْر بِتْروليّة|بِئرٌ نَفْط|بِئْر نِفط,293551
i85024,n,المحيط الأطلسي|المحيط الأطلنطي,293560
i85569,n,المحيط الهندي,293561
i82062,n,مَأْوَىً|مَرْبِضٌ,293566
i23209,v,مُدَّةٌ|زَمَنٌ|فَتْرَةٌ,293570
i1737,a,حَيَوَانٌ قارِتِيّ,293571
i63744,n,فَتْرَةٌ,293572
i46312,n,كَائِنٌ ثَدْيِيٌّ شِبْهُ مائِيّ|حَيَوَانٌ ثَدْيِيٌّ شِبْهُ مائِيّ|حَيَوَانٌ زَعْنَفِيّ القَدَم,293574
i64153,n,نقطة زمنية,293576
i37666,n,مَسْكَنٌ|مَسْكِنٌ|سَكَنٌ|سُكْنَةٌ|بَيْتٌ1,293583
i3955,s,لَحْظَةٌ,293653
i39255,n,نِهَايَةٌ|آخِرَةٌ|أَجَلٌ,293656
i36671,n,مُفْتَتَحٌ|مُسْتَهَلٌّ|فَاتِحٌ|غُرَّةٌ|مُقَدِّمَةٌ,293659
i74617,n,عَلَاقَةٌ|عِلَاقَةٌ2,293680
i18423,r,الآنَ|تَوَّاً|حَالٌ,293681
i24850,v,وَقْتٌ|أَجَلٌ|مِيقَاتٌ|مَوْعِدٌ,293682
i29294,v,مُخَيَّمٌ,293694
i85871,n,نِيْلٌ2,293724
i116927,n,منتصف الليل|نصف الليل,293735
i34723,v,فَجْرٌ|فَلَقٌ|فَلْقٌ,293736
